model,dataset_size,test_size,param_id,colsample_bytree,learning_rate,max_depth,n_estimators,subsample,accuracy,precision,recall,f1,roc_auc
XGBoost,1000,0.2,42,1.0,0.05,6,100,0.8,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9958
XGBoost,1000,0.2,43,1.0,0.05,6,100,1.0,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9959
XGBoost,1000,0.2,44,1.0,0.05,6,300,0.8,0.985,0.98989898989899,0.98,0.9849246231155779,0.9963
XGBoost,1000,0.2,45,1.0,0.05,6,300,1.0,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9971
XGBoost,1000,0.2,46,1.0,0.05,6,500,0.8,0.985,0.98989898989899,0.98,0.9849246231155779,0.9967
XGBoost,1000,0.2,47,1.0,0.05,6,500,1.0,0.975,0.9797979797979798,0.97,0.9748743718592965,0.997
XGBoost,1000,0.2,48,1.0,0.05,8,100,0.8,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9957
XGBoost,1000,0.2,49,1.0,0.05,8,100,1.0,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9959
XGBoost,1000,0.2,50,1.0,0.05,8,300,0.8,0.985,0.98989898989899,0.98,0.9849246231155779,0.9966
XGBoost,1000,0.2,51,1.0,0.05,8,300,1.0,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9973000000000001
XGBoost,1000,0.2,52,1.0,0.05,8,500,0.8,0.98,0.98,0.98,0.98,0.9968
XGBoost,1000,0.2,53,1.0,0.05,8,500,1.0,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9974
XGBoost,1000,0.2,54,1.0,0.1,4,100,0.8,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9964
XGBoost,1000,0.2,55,1.0,0.1,4,100,1.0,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9967
XGBoost,1000,0.2,56,1.0,0.1,4,300,0.8,0.975,0.9797979797979798,0.97,0.9748743718592965,0.9959
XGBoost,1000,0.2,57,1.0,0.1,4,300,1.0,0.975,0.9896907216494846,0.96,0.9746192893401016,0.9965
XGBoost,1000,0.2,58,1.0,0.1,4,500,0.8,0.975,0.9797979797979798,0.97,0.9748743718592965,0.9962
XGBoost,1000,0.2,59,1.0,0.1,4,500,1.0,0.975,0.9896907216494846,0.96,0.9746192893401016,0.9964
XGBoost,1000,0.2,60,1.0,0.1,6,100,0.8,0.98,0.9897959183673469,0.97,0.9797979797979798,0.9968000000000001
XGBoost,1000,0.2,61,1.0,0.1,6,100,1.0,0.985,0.98989898989899,0.98,0.9849246231155779,0.9966
